netrel,	1375405616, 6, 2626, 1, 0.999619
netrel,	1375405916, 6, 2747, 1, 0.999636
netrel,	1375406216, 6, 2632, 0, 1.000000
netrel,	1375406516, 6, 2752, 0, 1.000000
netrel,	1375406816, 6, 2870, 0, 1.000000
netrel,	1375407116, 7, 3488, 1, 0.999713
netrel,	1375407416, 8, 4456, 1, 0.999776
netrel,	1375407716, 8, 4633, 1, 0.999784
netrel,	1375408016, 8, 4815, 1, 0.999792
netrel,	1375408316, 8, 4995, 1, 0.999800
netrel,	1375408616, 8, 5177, 1, 0.999807
netrel,	1375408916, 8, 5358, 1, 0.999813
netrel,	1375409216, 8, 5541, 1, 0.999820
netrel,	1375409516, 8, 5720, 1, 0.999825
netrel,	1375409816, 8, 5898, 1, 0.999830
netrel,	1375410116, 8, 6082, 1, 0.999836
netrel,	1375410416, 8, 6259, 1, 0.999840
netrel,	1375410716, 8, 6438, 1, 0.999845
netrel,	1375411016, 8, 6621, 1, 0.999849
netrel,	1375411316, 8, 6799, 1, 0.999853
netrel,	1375411616, 8, 6978, 1, 0.999857
netrel,	1375411916, 8, 7158, 1, 0.999860
netrel,	1375412216, 8, 7342, 1, 0.999864
netrel,	1375412516, 8, 7522, 1, 0.999867
netrel,	1375412816, 8, 7700, 1, 0.999870
netrel,	1375413117, 8, 7882, 1, 0.999873
netrel,	1375413417, 8, 8061, 1, 0.999876
netrel,	1375413717, 8, 8240, 1, 0.999879
netrel,	1375414017, 8, 8421, 1, 0.999881
netrel,	1375414317, 8, 8599, 1, 0.999884
netrel,	1375414617, 8, 8780, 1, 0.999886
netrel,	1375414917, 8, 8957, 1, 0.999888
netrel,	1375415217, 8, 9140, 1, 0.999891
netrel,	1375415517, 8, 9320, 1, 0.999893
netrel,	1375415817, 8, 9500, 2, 0.999790
netrel,	1375416117, 8, 9689, 1, 0.999897
netrel,	1375416417, 8, 9869, 1, 0.999899
netrel,	1375416717, 8, 10047, 1, 0.999900
netrel,	1375417017, 8, 10226, 1, 0.999902
netrel,	1375417317, 8, 10409, 1, 0.999904
netrel,	1375417617, 8, 10588, 1, 0.999906
netrel,	1375417917, 8, 10766, 1, 0.999907
netrel,	1375418217, 8, 10949, 1, 0.999909
netrel,	1375418517, 8, 11127, 1, 0.999910
netrel,	1375418817, 8, 11306, 1, 0.999912
netrel,	1375419117, 8, 11486, 1, 0.999913
netrel,	1375419417, 8, 11668, 1, 0.999914
netrel,	1375419717, 8, 11847, 1, 0.999916
netrel,	1375420017, 8, 12027, 1, 0.999917
netrel,	1375420317, 8, 12208, 1, 0.999918
netrel,	1375420617, 8, 12387, 1, 0.999919
netrel,	1375420917, 8, 12567, 1, 0.999920
netrel,	1375421217, 8, 12745, 1, 0.999922
netrel,	1375421517, 8, 12926, 1, 0.999923
netrel,	1375421818, 8, 13107, 1, 0.999924
netrel,	1375422118, 8, 13284, 1, 0.999925
netrel,	1375422418, 8, 13466, 1, 0.999926
netrel,	1375422718, 8, 13647, 1, 0.999927
